procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0 257320 6472080   4452  88876    7  307    46   704   47   79  0  0 99  0  0
 0  0 256120 5957584   4452  88892 1548    0  1548  4096  197  503  0  1 99  0  0
 0  0 256116 5442064   4452  88892  164    0   164  4096  155  398  0  1 99  0  0
 0  0 256116 4928852   4452  88892   16    0    16  6144   89  282  0  1 99  0  0
 0  0 256116 4415884   4452  88892    0    0     0  4096   28  146  0  1 99  0  0
 0  0 256116 3902908   4460  88892    0    0     0  4108   41  185  0  1 99  0  0
 0  0 256084 3386656   4468  91264  780    0  3156  6156  225  557  0  1 99  0  0
 0  0 255828 2868364   4468  92736 1624    0  3100  4096  432  948  0  1 99  0  0
 0  0 255820 2355412   4468  93072  152    0   492  4096  118  362  0  1 99  0  0
 0  0 255820 7484164   4468  93068    0    0     0  6144   34  180  0  0 100  0  0
 1  0 255820 7484172   4476  93068    0    0     0  4108   29  165  0  0 100  0  0
 1  0 255816 7353100   4476  93068    8    0     8  4096   50  191  0  0 100  0  0
 0  0 255812 7484068   4484  93060   12    0    12  6160  109  326  0  1 99  0  0
 0  0 255808 7484424   4484  93068   12    0    12  4096   78  260  0  0 100  0  0
 0  0 255748 7484424   4484  93036   96    0    96  4096   44  181  0  1 99  0  0
 0  0 255744 7485432   4492  93056   20    0    20  6156   54  210  0  0 100  0  0
 0  0 255744 7485432   4492  93060    0    0     0  4096   39  173  0  1 99  0  0
 0  0 254588 7483564   4500  92984 1384    0  1384  4112  254  606  0  0 100  0  0
 0  0 254564 7483668   4500  92996  224    0   224  4096  259  630  0  1 99  0  0
 0  0 254564 7483668   4500  92996    0    0     0  6144   30  162  0  0 100  0  0
 1  0 254556 7483668   4508  93052   20    0    20  4108   47  213  0  0 100  0  0
 0  0 254552 7483668   4508  93052    4    0     4  4096   38  169  0  0 100  0  0
 1  0 254548 7353076   4508  93052   24    0    24  6144  140  378  0  0 100  0  0
 0  0 254548 7484424   4516  93052    0    0     0  4108   71  259  0  1 99  0  0
 0  0 254548 7484424   4516  93052    0    0     0  4096   28  154  0  0 100  0  0
