Tasks:  24 total,   1 running,  23 sleeping,   0 stopped,   0 zombie
%Cpu(s):  0,0 us,  0,7 sy,  0,0 ni, 99,3 id,  0,0 wa,  0,0 hi,  0,0 si,  0,0 st
МиБ Mem :   7768,2 total,   2479,6 free,   5116,9 used,    171,7 buff/cache
МиБ Swap:   2048,0 total,   1828,0 free,    220,0 used.   2436,8 avail Mem 

  PID USER      PR  NI    VIRT    RES    SHR S  %CPU  %MEM     TIME+ COMMAND                                                            
 3245 hp        20   0 5122808   4,9g   1104 S   8,0  64,4   0:00.64 ex3                                                                
    1 root      20   0    1744      4      0 S   0,0   0,0   0:00.01 init                                                               
   10 root      20   0    1752      0      0 S   0,0   0,0   0:00.00 init                                                               
   11 root      20   0    1752      8      0 S   0,0   0,0   0:00.00 init                                                               
   12 hp        20   0    2884      0      0 S   0,0   0,0   0:00.00 sh                                                                 
   13 hp        20   0    2884      0      0 S   0,0   0,0   0:00.00 sh                                                                 
   18 hp        20   0    2884      0      0 S   0,0   0,0   0:00.00 sh                                                                 
   22 hp        20   0  942556  54024  20940 S   0,0   0,7   0:09.04 node                                                               
   33 hp        20   0  742952  39100  15692 S   0,0   0,5   0:03.46 node                                                               
 1340 root      20   0    1764      0      0 S   0,0   0,0   0:00.00 init                                                               
 1341 root      20   0    1764      8      0 S   0,0   0,0   0:00.24 init                                                               
 1342 hp        20   0  587404  23592  13924 S   0,0   0,3   0:00.73 node                                                               
 1349 root      20   0    1764      0      0 S   0,0   0,0   0:00.00 init                                                               
 1350 root      20   0    1764      8      0 S   0,0   0,0   0:00.70 init                                                               
 1351 hp        20   0  586468  24428  14096 S   0,0   0,3   0:01.77 node                                                               
 1358 hp        20   0   21,2g 154360  23396 S   0,0   1,9   0:13.88 node                                                               
 1369 hp        20   0  704368   6700   6088 S   0,0   0,1   0:00.46 node                                                               
 1411 hp        20   0    9636   3920   2816 S   0,0   0,0   0:00.05 bash                                                               
 1453 hp        20   0 2120924  23424  10440 S   0,0   0,3   0:03.84 cpptools                                                           
 1506 hp        20   0 5539160   6424   5500 S   0,0   0,1   0:00.33 cpptools-srv 

 //hp is the user
